	modal	service	duration	km_category	route_id	capture_time	city	image_id
0	ridesharing	99Pop	23	10.5	355030815000030355030871000063	2020-08-02 01:53:13	sp	./volume_sp/images/app/app_v0_236d8c96_10.5_355030815000030355030871000063_2020-08-02_01-53_1596343993.png
1	ridesharing	99Comfort	23	10.5	355030815000030355030871000063	2020-08-02 01:53:13	sp	./volume_sp/images/app/app_v0_236d8c96_10.5_355030815000030355030871000063_2020-08-02_01-53_1596343993.png
2	ridesharing	99Pop	22	10.5	355030815000030355030871000063	2020-08-02 02:13:02	sp	./volume_sp/images/app/app_v0_236d8c96_10.5_355030815000030355030871000063_2020-08-02_02-13_1596345182.png
3	ridesharing	99Comfort	22	10.5	355030815000030355030871000063	2020-08-02 02:13:02	sp	./volume_sp/images/app/app_v0_236d8c96_10.5_355030815000030355030871000063_2020-08-02_02-13_1596345182.png
4	ridesharing	99Pop	23	10.5	355030815000030355030871000063	2020-08-02 03:17:28	sp	./volume_sp/images/app/app_v0_236d8c96_10.5_355030815000030355030871000063_2020-08-02_03-17_1596349048.png
5	ridesharing	99Comfort	23	10.5	355030815000030355030871000063	2020-08-02 03:17:28	sp	./volume_sp/images/app/app_v0_236d8c96_10.5_355030815000030355030871000063_2020-08-02_03-17_1596349048.png
6	ridesharing	99Pop	24	10.5	355030815000030355030871000063	2020-08-02 04:17:28	sp	./volume_sp/images/app/app_v0_236d8c96_10.5_355030815000030355030871000063_2020-08-02_04-17_1596352648.png
7	ridesharing	99Comfort	24	10.5	355030815000030355030871000063	2020-08-02 04:17:28	sp	./volume_sp/images/app/app_v0_236d8c96_10.5_355030815000030355030871000063_2020-08-02_04-17_1596352648.png
8	ridesharing	99Pop	9	1.5	355030838000198355030838000194	2020-08-02 13:54:59	sp	./volume_sp/images/app/app_v0_RX2MB00HYRF_1.5_355030838000198355030838000194_2020-08-02_13-54_1596387299.png
9	ridesharing	99Pop	8	1.5	355030871000079355030871000123	2020-08-02 09:25:43	sp	./volume_sp/images/app/app_v0_RX2MB00HYRF_1.5_355030871000079355030871000123_2020-08-02_09-25_1596371143.png
10	ridesharing	99Pop	7	1.5	355030871000079355030871000123	2020-08-02 12:15:26	sp	./volume_sp/images/app/app_v0_RX2MB00HYRF_1.5_355030871000079355030871000123_2020-08-02_12-15_1596381326.png
11	ridesharing	UberX	10	2.5	355030815000030355030815000059	2020-08-02 01:53:02	sp	./volume_sp/images/app/app_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_01-53_1596343982.png
12	ridesharing	UberComfort	10	2.5	355030815000030355030815000059	2020-08-02 01:53:02	sp	./volume_sp/images/app/app_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_01-53_1596343982.png
13	ridesharing	UberBlack	10	2.5	355030815000030355030815000059	2020-08-02 01:53:02	sp	./volume_sp/images/app/app_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_01-53_1596343982.png
14	ridesharing	UberBag	10	2.5	355030815000030355030815000059	2020-08-02 01:53:02	sp	./volume_sp/images/app/app_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_01-53_1596343982.png
15	ridesharing	UberBlack	10	2.5	355030815000030355030815000059	2020-08-02 01:53:02	sp	./volume_sp/images/app/app_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_01-53_1596343982.png
16	ridesharing	99Pop	12	2.5	355030815000030355030815000059	2020-08-02 01:53:58	sp	./volume_sp/images/app/app_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_01-53_1596344038.png
17	ridesharing	UberX	8	2.5	355030815000030355030815000059	2020-08-02 02:12:51	sp	./volume_sp/images/app/app_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_02-12_1596345171.png
18	ridesharing	UberComfort	8	2.5	355030815000030355030815000059	2020-08-02 02:12:51	sp	./volume_sp/images/app/app_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_02-12_1596345171.png
19	ridesharing	UberBlack	9	2.5	355030815000030355030815000059	2020-08-02 02:12:51	sp	./volume_sp/images/app/app_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_02-12_1596345171.png
20	ridesharing	UberBag	8	2.5	355030815000030355030815000059	2020-08-02 02:12:51	sp	./volume_sp/images/app/app_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_02-12_1596345171.png
21	ridesharing	UberBlack	9	2.5	355030815000030355030815000059	2020-08-02 02:12:51	sp	./volume_sp/images/app/app_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_02-12_1596345171.png
22	ridesharing	99Pop	10	2.5	355030815000030355030815000059	2020-08-02 02:13:47	sp	./volume_sp/images/app/app_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_02-13_1596345227.png
23	ridesharing	99Comfort	10	2.5	355030815000030355030815000059	2020-08-02 02:13:47	sp	./volume_sp/images/app/app_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_02-13_1596345227.png
24	ridesharing	UberX	9	2.5	355030815000030355030815000059	2020-08-02 03:17:16	sp	./volume_sp/images/app/app_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_03-17_1596349036.png
25	ridesharing	UberComfort	9	2.5	355030815000030355030815000059	2020-08-02 03:17:16	sp	./volume_sp/images/app/app_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_03-17_1596349036.png
26	ridesharing	UberBlack	9	2.5	355030815000030355030815000059	2020-08-02 03:17:16	sp	./volume_sp/images/app/app_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_03-17_1596349036.png
27	ridesharing	UberBag	9	2.5	355030815000030355030815000059	2020-08-02 03:17:16	sp	./volume_sp/images/app/app_v0_RX2MB00HYRF_2.5_355030815000030355030815000059_2020-08-02_03-17_1596349036.png
