ROUTE_ID	SUBDISTRICT_ID_ORIGIN	CITY_ORIGIN	SUBDISTRICT_ID_DESTINATION	CITY_DESTINATION	MODAL	SERVICE	DISTANCE	KM_CATEGORY	CAPTURE_TIME	IMAGE_ID
355030815000030355030815000057	355030815000030	CAMPO-BELO	355030815000057	CAMPO-BELO	motocycle	motocycle	1800	2.0	2020-08-02 03:08:53	./volume_sp/images/modal/motocycle_v0_RX2MB00JQRK_2.0_355030815000030355030815000057_2020-08-02_03-08_1596348533.png
355030815000030355030815000057	355030815000030	CAMPO-BELO	355030815000057	CAMPO-BELO	motocycle	motocycle	1800	2.0	2020-08-02 04:08:52	./volume_sp/images/modal/motocycle_v0_RX2MB00JQRK_2.0_355030815000030355030815000057_2020-08-02_04-08_1596352132.png
355030815000030355030815000057	355030815000030	CAMPO-BELO	355030815000057	CAMPO-BELO	motocycle	motocycle	1800	2.0	2020-08-02 05:08:52	./volume_sp/images/modal/motocycle_v0_RX2MB00JQRK_2.0_355030815000030355030815000057_2020-08-02_05-08_1596355732.png
355030815000030355030815000057	355030815000030	CAMPO-BELO	355030815000057	CAMPO-BELO	motocycle	motocycle	1800	2.0	2020-08-02 06:08:52	./volume_sp/images/modal/motocycle_v0_RX2MB00JQRK_2.0_355030815000030355030815000057_2020-08-02_06-08_1596359332.png
355030815000030355030815000057	355030815000030	CAMPO-BELO	355030815000057	CAMPO-BELO	motocycle	motocycle	1800	2.0	2020-08-02 07:08:53	./volume_sp/images/modal/motocycle_v0_RX2MB00JQRK_2.0_355030815000030355030815000057_2020-08-02_07-08_1596362933.png
355030815000030355030815000057	355030815000030	CAMPO-BELO	355030815000057	CAMPO-BELO	motocycle	motocycle	1800	2.0	2020-08-02 08:08:52	./volume_sp/images/modal/motocycle_v0_RX2MB00JQRK_2.0_355030815000030355030815000057_2020-08-02_08-08_1596366532.png
355030815000030355030815000057	355030815000030	CAMPO-BELO	355030815000057	CAMPO-BELO	motocycle	motocycle	1800	2.0	2020-08-02 09:08:53	./volume_sp/images/modal/motocycle_v0_RX2MB00JQRK_2.0_355030815000030355030815000057_2020-08-02_09-08_1596370133.png
355030815000030355030815000057	355030815000030	CAMPO-BELO	355030815000057	CAMPO-BELO	walk	walk	1200	2.0	2020-08-02 02:04:48	./volume_sp/images/modal/walk_v0_RX2MB00JQRK_2.0_355030815000030355030815000057_2020-08-02_02-04_1596344688.png
355030815000030355030815000057	355030815000030	CAMPO-BELO	355030815000057	CAMPO-BELO	walk	walk	1200	2.0	2020-08-02 03:09:15	./volume_sp/images/modal/walk_v0_RX2MB00JQRK_2.0_355030815000030355030815000057_2020-08-02_03-09_1596348555.png
355030815000030355030815000057	355030815000030	CAMPO-BELO	355030815000057	CAMPO-BELO	bicycle	bicycle	1200	2.0	2020-08-02 06:16:22	./volume_sp/images/modal/bicycle_v0_R9XMC05G2VY_2.0_355030815000030355030815000057_2020-08-02_06-16_1596359782.png
